module_path,testray_component,team_name
modules/apps/item-selector,Item Selector,Content Management
modules/apps/journal,Content Management System,
modules/apps/journal,Web Content,Content Management
modules/apps/json-storage,Portal Services,Content Management
modules/apps/knowledge-base,Knowledge Base,Content Management
modules/apps/layout,Content Page Templates,
modules/apps/layout,Content Pages,Page Management
modules/apps/layout,Display Page Templates,
modules/apps/layout,Page Administration,
modules/apps/layout,Page Templates,
modules/apps/learn,Setup Wizard,NoMappedTeam
modules/apps/license-manager,License,Core Infrastructure
modules/apps/list-type,Object,Business Process Management
modules/apps/locked-items,Knowledge Base,Content Management
modules/apps/login,Login,Application Security
modules/apps/mail,Portal Services,Content Management
modules/apps/map,Frontend Other,Frontend Infrastructure
modules/apps/marketplace,Marketplace,Marketplace
modules/apps/mcp,,Content Management
modules/apps/mentions,Mentions,Content Management
modules/apps/message-boards,Message Boards,Content Management
modules/apps/microblogs,Microblogs,Content Management
modules/apps/microsoft-translator,Translations Management,Content Management
modules/apps/monitoring,Monitoring,Core Infrastructure
modules/apps/my-subscriptions,My Subscriptions Widget,Content Management
modules/apps/nested-portlets,Nested Portlets Widget,Page Management
modules/apps/normalizer,Portal Services,Core Infrastructure
modules/apps/notification,Notifications Framework,Business Process Management
modules/apps/notifications,Notifications,Content Management
modules/apps/oauth-client,OAuth 2,Application Security
modules/apps/oauth2-provider,OAuth 2,Application Security
modules/apps/object,Headless Object API,
modules/apps/object,Object Entries REST APIs,
modules/apps/object,Objects,Business Process Management
modules/apps/on-demand-admin,On Demand Admin,Commerce
modules/apps/organizations,Users and Organizations,Commerce
modules/apps/password-policies-admin,Password Policies,Application Security
modules/apps/password-policy,Password Policies,Application Security
modules/apps/plugins-admin,Components Admin,Core Infrastructure
modules/apps/portal,Core Infrastructure,
modules/apps/portal,Database Access,
modules/apps/portal,Database Partitioning,
modules/apps/portal,Database Upgrade Framework,
modules/apps/portal,Portal Services,Core Infrastructure
modules/apps/portal,Upgrade Logging,
modules/apps/portal,Upgrade Report,
modules/apps/portal,Virtual Instances,
modules/apps/portal-background-task,Portal Services,Core Infrastructure
modules/apps/portal-cache,Portal Services,Core Infrastructure
modules/apps/portal-configuration,Portal Configuration,Core Infrastructure
modules/apps/portal-crypto-hash,Password,Application Security
modules/apps/portal-instances,Instance Settings,
modules/apps/portal-instances,Virtual Instances,Database Infrastructure
modules/apps/portal-language,Language Override,Platform Experience
modules/apps/portal-lock,Portal Services,Core Infrastructure
modules/apps/portal-model-relationship,Staging,Business Process Management
modules/apps/portal-odata,Headless Batch Engine API,Core Infrastructure
modules/apps/portal-osgi-debug,Portal Services,Core Infrastructure
modules/apps/portal-portlet-bridge,Portal Services,Core Infrastructure
modules/apps/portal-relationship,Portal Services,Core Infrastructure
modules/apps/portal-remote,Web Services,Core Infrastructure
modules/apps/portal-reports-engine,Reports,Business Process Management
modules/apps/portal-rules-engine,Rules,Business Process Management
modules/apps/portal-scheduler,Scheduler,Core Infrastructure
modules/apps/portal-scripting,Server Administration,Core Infrastructure
modules/apps/portal-search,Search,
modules/apps/portal-search,Web Search,Search
modules/apps/portal-search-elasticsearch7,Search Infrastructure > Elasticsearch Connector,Search
modules/apps/portal-search-elasticsearch8,Search Infrastructure > Elasticsearch Connector,Search
modules/apps/portal-search-elasticsearch8/portal-search-elasticsearch8-impl/src/main,Search Infrastructure > Elasticsearch Connector,
modules/apps/portal-search-opensearch2,Search Infrastructure > OpenSearch Connector,Search
modules/apps/portal-search-solr8,Search Infrastructure > Solr Connector,Search
modules/apps/portal-security,Auth Verifiers,
modules/apps/portal-security,Auto Login,
modules/apps/portal-security,Security,Application Security
modules/apps/portal-security-audit,Audit,Application Security
modules/apps/portal-security-sso,LDAP,
modules/apps/portal-security-sso,OpenID Connect,
modules/apps/portal-security-sso,Security,Application Security
modules/apps/portal-settings,Login,Application Security
modules/apps/portal-store,Document Library Stores,Core Infrastructure
modules/apps/portal-template,Templates Engine,Core Infrastructure
modules/apps/portal-transaction,Portal Services,Core Infrastructure
modules/apps/portal-url-builder,Frontend Other,Frontend Infrastructure
modules/apps/portal-validation,Staging,Core Infrastructure
modules/apps/portal-vulcan,REST Infrastructure,Headless
modules/apps/portal-workflow,Workflow,Business Process Management
modules/apps/portlet,Portal Services,Page Management
modules/apps/portlet-configuration,Widget Configuration,Page Management
modules/apps/portlet-dependency-factory,Portal Services,Page Management
modules/apps/portlet-display-template,Widget Page Templates,Page Management
modules/apps/portlet-preferences,Portal Services,Page Management
modules/apps/product-analytics,Product Analytics,Analytics Cloud
modules/apps/product-navigation,Control Menu,Platform Experience
modules/apps/push-notifications,Notifications,Content Management
modules/apps/questions,Questions,Content Management
modules/apps/ratings,Ratings,Content Management
modules/apps/reading-time,Blogs,Content Management
modules/apps/redirect,URL Redirections,Site Management
modules/apps/repository,Documents and Media,Content Management
modules/apps/roles,Permissions,
modules/apps/roles,Roles,Commerce
modules/apps/rss,RSS Publisher Widget,Content Management
modules/apps/sanitizer,AntiSamy,Core Infrastructure
modules/apps/saved-content,Documents and Media,Content Management
modules/apps/search,Search Infrastructure,Search
modules/apps/segments,Segmentation,Analytics Cloud
modules/apps/server,Server Administration,Core Infrastructure
modules/apps/service-component,Portal Services,Core Infrastructure
modules/apps/shared-dependencies,Portal Services,Core Infrastructure
modules/apps/sharing,Asset Sharing,Site Management
modules/apps/site,Site Teams,
modules/apps/site,Site Templates,
modules/apps/site,Sites Administration,Site Management
modules/apps/site-initializer,Site Management > Site Initializer,Site Management
modules/apps/site-initializer/site-initializer-extender,Site Management > Site Initializer,
modules/apps/site-navigation,Navigation Menus,Site Management
modules/apps/social,Social Bookmarks,Content Management
modules/apps/staging,Staging,Headless
modules/apps/static,File Install,Core Infrastructure
modules/apps/style-book,Style Books,Platform Experience
modules/apps/subscription,My Subscriptions Widget,Content Management
modules/apps/template,Templates,Page Management
modules/apps/text-localizer,Users and Organizations,Content Management
modules/apps/translation,Translations Management,Content Management
modules/apps/trash,Recycle Bin,Content Management
modules/apps/upload,Item Selector,Content Management
modules/apps/user,User Management,Commerce
modules/apps/user,Users and Organizations,Commerce
modules/apps/user-associated-data,Personal Data,Commerce
modules/apps/user-groups-admin,User Groups,Commerce
modules/apps/users-admin,Users and Organizations,Commerce
modules/apps/view-count,Util,Core Infrastructure
modules/apps/website,Personal Data,Commerce
modules/apps/websocket,Portal Services,Core Infrastructure
modules/apps/wiki,Wiki,Content Management
modules/apps/words,,Content Management
modules/apps/xstream,Portal Services,Content Management
modules/core/petra,Core Infrastructure,Core Infrastructure
modules/core/portal-bootstrap,Core Infrastructure,Core Infrastructure
modules/dxp/apps/ai-hub,AI Hub,Content Management
modules/dxp/apps/akismet,Akismet,Content Management
modules/dxp/apps/analytics,A/B Test,
modules/dxp/apps/analytics,Analytics Cloud,Analytics Cloud
modules/dxp/apps/antivirus,Antivirus,Application Security
modules/dxp/apps/commerce,Commerce,Commerce
modules/dxp/apps/commerce-avalara,Commerce,Commerce
modules/dxp/apps/commerce-demo-pack,Commerce,Commerce
modules/dxp/apps/commerce-punchout,Commerce,Commerce
modules/dxp/apps/digital-sales-room,Commerce,Commerce
modules/dxp/apps/document-library-opener,External Document Repositories,Content Management
modules/dxp/apps/enterprise-product-notification,User Notifications,Content Management
modules/dxp/apps/frontend-theme,Liferay Themes,Platform Experience
modules/dxp/apps/multi-factor-authentication,Multi Factor Authentication,Application Security
modules/dxp/apps/osb,Analytics Cloud,NoMappedTeam
modules/dxp/apps/portal,Database Access,
modules/dxp/apps/portal,Portal Services,Core Infrastructure
modules/dxp/apps/portal-reports-engine-console,Reports,Business Process Management
modules/dxp/apps/portal-rules-engine-drools,Rules,Business Process Management
modules/dxp/apps/portal-search-elasticsearch-cross-cluster-replication,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-search-elasticsearch-monitoring,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-search-learning-to-rank,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-search-similar-results,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-search-tuning,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-security-audit,Audit,Application Security
modules/dxp/apps/portal-workflow,Workflow Metrics,Business Process Management
modules/dxp/apps/portal-workflow-kaleo-forms,Kaleo Designer,
modules/dxp/apps/portal-workflow-kaleo-forms,Kaleo Forms Admin,Business Process Management
modules/dxp/apps/salesforce-connector,Commerce,Commerce
modules/dxp/apps/saml,SAML,Application Security
modules/dxp/apps/scim,SCIM,Application Security
modules/dxp/apps/search-experiences,Search Blueprints,Search
modules/dxp/apps/segments,Segmentation,Analytics Cloud
modules/dxp/apps/sharepoint-rest,External Document Repositories,Content Management
modules/dxp/apps/sharepoint-soap,External Document Repositories,Content Management
modules/util/portal-tools-db-migration-importer,Database Upgrade Framework,
modules/util/portal-tools-db-partition-migration-validator,Database Partitioning,
modules/util/portal-tools-db-upgrade-client,Database Upgrade Tool,
portal-impl,Data Cleanup,
portal-impl,Database Access,
portal-impl,Database Partitioning,
portal-impl,Database Upgrade Framework,
portal-impl,Portal Services,Core Infrastructure
portal-impl/src/com,Core Infrastructure,Core Infrastructure
portal-kernel,Data Cleanup,
portal-kernel,Database Access,
portal-kernel,Database Partitioning,
portal-kernel,Database Upgrade Framework,
portal-kernel,Portal Services,Core Infrastructure
portal-kernel,Virtual Instances,
portal-kernel/src/com,Core Infrastructure,Core Infrastructure
util-java,Core Infrastructure Util,Core Infrastructure
util-taglib/src/com,Frontend Taglib,Frontend Infrastructure
